id,District,Category,subCategory,Cohort_Year,Cohort,Total_Cohort,Percent_Cohort,Number_Grads,Percent_Grads
1,1,Ethnicity,Asian,2019,4 year August,247,25.8,193,78.1
2,1,Ethnicity,Black,2019,4 year August,158,16.5,114,72.2
3,1,Ethnicity,Hispanic,2019,4 year August,374,39,237,63.4
4,1,Ethnicity,Multi-Racial,2019,4 year August,14,1.5,13,92.9
5,1,Ethnicity,Native,2019,4 year August,7,0.7,5,71.4
6,1,Ethnicity,White,2019,4 year August,158,16.5,146,92.4
7,2,Ethnicity,Asian,2019,4 year August,1494,18,1415,94.7
8,2,Ethnicity,Black,2019,4 year August,1535,18.5,1190,77.5
9,2,Ethnicity,Hispanic,2019,4 year August,3733,45,2909,77.9
10,2,Ethnicity,Multi-Racial,2019,4 year August,183,2.2,169,92.3
11,2,Ethnicity,Native,2019,4 year August,67,0.8,54,80.6
12,2,Ethnicity,White,2019,4 year August,1277,15.4,1177,92.2
13,3,Ethnicity,Asian,2019,4 year August,298,12.5,291,97.7
14,3,Ethnicity,Black,2019,4 year August,460,19.3,384,83.5
15,3,Ethnicity,Hispanic,2019,4 year August,866,36.3,704,81.3
16,3,Ethnicity,Multi-Racial,2019,4 year August,72,3,67,93.1
17,3,Ethnicity,Native,2019,4 year August,18,0.8,16,88.9
18,3,Ethnicity,White,2019,4 year August,674,28.2,657,97.5
19,4,Ethnicity,Asian,2019,4 year August,122,12.9,118,96.7
20,4,Ethnicity,Black,2019,4 year August,242,25.6,202,83.5
21,4,Ethnicity,Hispanic,2019,4 year August,509,53.8,453,89
22,4,Ethnicity,Multi-Racial,2019,4 year August,7,0.7,6,85.7
23,4,Ethnicity,Native,2019,4 year August,12,1.3,10,83.3
24,4,Ethnicity,White,2019,4 year August,54,5.7,51,94.4
25,5,Ethnicity,Asian,2019,4 year August,56,6.5,52,92.9
26,5,Ethnicity,Black,2019,4 year August,388,44.8,278,71.6
27,5,Ethnicity,Hispanic,2019,4 year August,320,36.9,233,72.8
28,5,Ethnicity,Multi-Racial,2019,4 year August,16,1.8,14,87.5
29,5,Ethnicity,Native,2019,4 year August,14,1.6,12,85.7
30,5,Ethnicity,White,2019,4 year August,73,8.4,65,89
31,6,Ethnicity,Asian,2019,4 year August,15,1.2,10,66.7
32,6,Ethnicity,Black,2019,4 year August,187,15.4,149,79.7
33,6,Ethnicity,Hispanic,2019,4 year August,979,80.8,823,84.1
34,6,Ethnicity,Multi-Racial,2019,4 year August,6,0.5,2,33.3
35,6,Ethnicity,Native,2019,4 year August,6,0.5,5,83.3
